Title,Description,Status,Priority,Estimate,Labels,Milestone,Parent,
[M1 Epic] Project Setup & Tooling,"Initialize repo scaffolding, dev tooling, and execution workflow for Claude Code + Linear.",Backlog,High,5,epic;setup,Milestone 1 — Project foundation & scope lock,,
Repo scaffold (folders + basic modules),"Create top-level folders: ingest/, process/, kg/, measures/, model/, notebooks/, data_manifests/, docs/. Add placeholder __init__.py where needed.",Backlog,High,3,setup,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
Python environment + dependency management,"Set up uv or poetry, pin versions, add requirements lock, and document setup in README.",Backlog,High,3,setup,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
Code quality tooling,"Add ruff/black (or ruff format), pre-commit hooks, and basic lint targets.",Backlog,Medium,2,setup;quality,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
Makefile/task runner,"Create make targets: setup, build-db, transform, signals, train, notebook (stubs ok initially).",Backlog,High,3,setup;repro,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
.gitignore + data layout,"Ignore data/external, data/interim, data/processed; keep data_manifests/ tracked.",Backlog,High,2,setup;repro,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
Logging + config pattern,Add structured logging and config pattern (YAML/TOML + env overrides).,Backlog,Medium,2,setup,Milestone 1 — Project foundation & scope lock,[M1 Epic] Project Setup & Tooling,
,,,,,,,,
[M1 Epic] Requirements & DoD Lock,"Freeze scope decisions, acceptance questions, MVP doc count target, and policies in docs/ and README.",Backlog,High,5,epic;requirements,Milestone 1 — Project foundation & scope lock,,
Write acceptance questions (10–15),"Define concrete KG questions to validate usefulness (coverage, trends, top capabilities, risk shifts, etc.).",Backlog,High,2,requirements,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
Finalize MVP doc count + mix,"Set MVP to 300–500 docs; define target mix (SEC, transcripts, press/blog, media).",Backlog,High,1,requirements,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
Public-only source policy doc,Document allowed/disallowed sources + fallback strategy for analyst/paywalled content.,Backlog,High,1,requirements;compliance,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
Ground-truth plan doc,Document thin gold set plan (~50 docs / ~500 sentences) and precision-focused evaluation.,Backlog,Medium,1,requirements;validation,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
Leakage-proof modeling plan doc,"Write the as-of / lagging rules, time splits, and leakage checks in docs/modeling.md.",Backlog,High,2,requirements;modeling,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
Risk register doc,Create docs/risk_register.md using the table in README; add mitigations and owners (optional).,Backlog,Medium,1,requirements;compliance,Milestone 1 — Project foundation & scope lock,[M1 Epic] Requirements & DoD Lock,
,,,,,,,,
[M2 Epic] Source Inventory & Crawl Rules,"Define allowed domains, URL seeds, crawl constraints, and compliance controls (robots.txt, rate limits).",Backlog,High,5,epic;ingest;compliance,Milestone 2 — Data acquisition (public-only),,
Allowed domains allowlist,"Create allowlist (e.g., sec.gov, workday.com, investor relations host, etc.).",Backlog,High,1,ingest;compliance,Milestone 2 — Data acquisition (public-only),[M2 Epic] Source Inventory & Crawl Rules,
Seed URL lists (CSV),"Create data_manifests/seeds/*.csv for SEC filings, IR pages, press, blog, transcripts, media.",Backlog,High,3,ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Source Inventory & Crawl Rules,
URL normalization + de-dupe rules,"Define canonicalization, stripping tracking params, and duplicate detection strategy.",Backlog,Medium,2,ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Source Inventory & Crawl Rules,
Robots.txt + ToS compliance checks,Implement robots.txt check and add user-agent + contact header strategy.,Backlog,High,3,ingest;compliance,Milestone 2 — Data acquisition (public-only),[M2 Epic] Source Inventory & Crawl Rules,
Rate limiting strategy,"Implement per-domain throttling, retries with backoff, and polite concurrency limits.",Backlog,High,2,ingest;compliance,Milestone 2 — Data acquisition (public-only),[M2 Epic] Source Inventory & Crawl Rules,
,,,,,,,,
[M2 Epic] Ingestion & Raw Metadata Capture,"Fetch public HTML/PDF, store locally (ignored by git), and persist manifest metadata in Postgres.",Backlog,High,5,epic;ingest;db,Milestone 2 — Data acquisition (public-only),,
Create raw document storage layout,"Implement data/external/{html,pdf}/... plus content-hash naming.",Backlog,High,2,ingest;repro,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
Implement fetcher for HTML,"Fetch HTML with headers, retries, store raw response, capture status + hash.",Backlog,High,3,ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
Implement fetcher for PDF,"Download PDFs, store raw bytes, capture mime + hash + size.",Backlog,High,3,ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
Document manifest table (raw_documents),"Create table for url, fetched_at, status, mime, hash, size, title (if any).",Backlog,High,2,db;ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
Write manifest export (CSV),Export reproducible manifest to data_manifests/documents.csv (no raw content).,Backlog,Medium,2,repro;ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
Ingest CLI entrypoint,Create CLI: python -m ingest.run --seeds ... --since 2015 --limit N.,Backlog,Medium,2,ingest,Milestone 2 — Data acquisition (public-only),[M2 Epic] Ingestion & Raw Metadata Capture,
,,,,,,,,
[M3 Epic] Document Processing & Classification,"Extract clean text, classify doc type, extract metadata, sentence-split, and persist intermediates locally.",Backlog,High,5,epic;process;nlp,Milestone 3 — Processing & Knowledge Graph,,
HTML to clean text,Implement readability/boilerplate removal and normalized text output.,Backlog,High,3,process,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
PDF to text,Implement PDF text extraction and capture page count + extraction warnings.,Backlog,High,3,process,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
Document type classifier,"Rule-based classifier: SEC filing, transcript, press release, blog, media, event.",Backlog,High,3,process,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
Publish date extraction,Extract publish date from metadata/body; store best-guess + confidence.,Backlog,High,2,process,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
Sentence segmentation,Split into sentences with stable IDs for evidence spans.,Backlog,Medium,2,process;nlp,Milestone 3 — Processing & Knowledge Graph,[M3 Epic] Document Processing & Classification,
